=== run 30603746524 2026-07-31T04:17:02Z ===
  캐시 완료 11290/13300: 6028건 (신고 6028)
  캐시 완료 11290/13900: 3395건 (신고 3395)
  캐시 완료 11740/10700: 3047건 (신고 3047)
  캐시 완료 11740/10500: 1990건 (신고 1990)
  캐시 완료 11110/10800: 289건 (신고 289)
  캐시 완료 11680/10300: 1737건 (신고 1737)
  캐시 완료 11650/10600: 972건 (신고 972)
  캐시 완료 11440/11100: 1042건 (신고 1042)
  캐시 완료 11215/10700: 2245건 (신고 2245)
  캐시 완료 11545/10200: 7037건 (신고 7037)
  캐시 완료 11320/10700: 4512건 (신고 4512)
  캐시 완료 11140/13800: 370건 (신고 370)
  캐시 완료 11440/10800: 1069건 (신고 1069)
  캐시 완료 11440/12700: 1065건 (신고 1065)
  캐시 완료 11170/13600: 2427건 (신고 2427)
  캐시 완료 11200/10700: 1741건 (신고 1741)
  캐시 완료 11290/10100: 2556건 (신고 2556)
  캐시 완료 11500/10100: 752건 (신고 752)
  캐시 완료 11560/10300: 517건 (신고 517)
  캐시 완료 11740/10100: 967건 (신고 967)
  캐시 완료 11110/14000: 504건 (신고 504)
  캐시 완료 11110/12100: 224건 (신고 224)
  캐시 완료 11110/14600: 453건 (신고 453)
  캐시 완료 11140/15200: 400건 (신고 400)
  캐시 완료 11140/16000: 355건 (신고 355)
  캐시 완료 11140/14600: 312건 (신고 312)
  캐시 완료 11170/12800: 881건 (신고 881)
  캐시 완료 11410/11000: 2259건 (신고 2259)
  캐시 완료 11200/11200: 720건 (신고 720)
  캐시 완료 11350/10300: 3130건 (신고 3130)
  캐시 완료 11545/10300: 6644건 (신고 6644)
  캐시 완료 11500/10400: 570건 (신고 570)
  캐시 완료 11230/11000: 3457건 (신고 3457)
  캐시 완료 11560/13300: 5020건 (신고 5020)
  캐시 완료 11260/10600: 1329건 (신고 1329)
  캐시 완료 11110/10500: 162건 (신고 162)
  캐시 완료 11110/11100: 418건 (신고 418)
  캐시 완료 11110/14800: 421건 (신고 421)
  캐시 완료 11110/14700: 122건 (신고 122)
  캐시 완료 11320/10600: 3813건 (신고 3813)
  캐시 완료 11170/12400: 398건 (신고 398)
  캐시 완료 11170/12300: 267건 (신고 267)
  캐시 완료 11200/10400: 450건 (신고 450)
  캐시 완료 11200/11800: 1186건 (신고 1186)
  캐시 완료 11545/10100: 1517건 (신고 1517)
  캐시 완료 11710/10600: 1937건 (신고 1937)
  캐시 완료 11290/13500: 2266건 (신고 2266)
  캐시 완료 11230/10500: 2987건 (신고 2987)
  캐시 완료 11305/10200: 3040건 (신고 3040)
  캐시 완료 11560/12100: 526건 (신고 526)
  캐시 완료 11560/10600: 366건 (신고 366)
  캐시 완료 11260/10300: 3754건 (신고 3754)
  캐시 완료 11110/15900: 279건 (신고 279)
  캐시 완료 11110/16700: 807건 (신고 807)
  캐시 완료 11110/18300: 1829건 (신고 1829)
  캐시 완료 11320/10500: 4349건 (신고 4349)
  캐시 완료 11140/13900: 324건 (신고 324)
  캐시 완료 11440/11400: 692건 (신고 692)
  캐시 완료 11440/12500: 2606건 (신고 2606)
  캐시 완료 11170/11200: 715건 (신고 715)
  캐시 완료 11170/10400: 549건 (신고 549)
  캐시 완료 11530/10600: 2978건 (신고 2978)
  캐시 완료 11410/10100: 219건 (신고 219)
  캐시 완료 11350/10200: 1857건 (신고 1857)
  캐시 완료 11380/10400: 3467건 (신고 3467)
  캐시 완료 11710/10800: 1713건 (신고 1713)
  캐시 완료 11290/13400: 1378건 (신고 1378)
  캐시 완료 11290/12500: 691건 (신고 691)
  캐시 완료 11230/10100: 601건 (신고 601)
  캐시 완료 11560/11100: 816건 (신고 816)
  캐시 완료 11260/10200: 2754건 (신고 2754)
  캐시 완료 11110/15300: 255건 (신고 255)
  캐시 완료 11110/11300: 270건 (신고 270)
  캐시 완료 11110/15700: 128건 (신고 128)
  캐시 완료 11320/10800: 2817건 (신고 2817)
  캐시 완료 11140/14300: 339건 (신고 339)
  캐시 완료 11140/14400: 665건 (신고 665)
  캐시 완료 11215/10400: 751건 (신고 751)
  캐시 완료 11170/10800: 1174건 (신고 1174)
  캐시 완료 11170/13200: 668건 (신고 668)
  캐시 완료 11170/10100: 2360건 (신고 2360)
  캐시 완료 11530/10700: 4490건 (신고 4490)
  캐시 완료 11410/11800: 3746건 (신고 3746)
  캐시 완료 11410/10200: 630건 (신고 630)
  캐시 완료 11200/12200: 1316건 (신고 1316)
  캐시 완료 11380/10800: 3196건 (신고 3196)
  캐시 완료 11710/10300: 1912건 (신고 1912)
  캐시 완료 11290/10900: 225건 (신고 225)
  캐시 완료 11290/12900: 171건 (신고 171)
  캐시 완료 11560/12500: 601건 (신고 601)
  캐시 완료 11560/11400: 359건 (신고 359)
  캐시 완료 11560/11200: 243건 (신고 243)
  캐시 완료 11560/11300: 584건 (신고 584)
  캐시 완료 11560/12800: 537건 (신고 537)
  캐시 완료 11260/10400: 3043건 (신고 3043)
  캐시 완료 11590/10300: 883건 (신고 883)
  캐시 완료 11590/10800: 1772건 (신고 1772)
  캐시 완료 11590/10200: 7099건 (신고 7099)
  캐시 완료 11740/10600: 1488건 (신고 1488)
  캐시 완료 11110/17200: 322건 (신고 322)
  캐시 완료 11110/17100: 315건 (신고 315)
  캐시 완료 11110/11000: 330건 (신고 330)
  캐시 완료 11110/17300: 921건 (신고 921)
  캐시 완료 11110/13600: 153건 (신고 153)
  캐시 완료 11110/16500: 467건 (신고 467)
  캐시 완료 11440/10300: 498건 (신고 498)
  캐시 완료 11440/10400: 909건 (신고 909)
  캐시 완료 11620/10300: 1017건 (신고 1017)
  캐시 완료 11170/12100: 851건 (신고 851)
  캐시 완료 11410/11100: 3130건 (신고 3130)
  캐시 완료 11410/12000: 1994건 (신고 1994)
  캐시 완료 11350/10400: 684건 (신고 684)
  캐시 완료 11710/11200: 1563건 (신고 1563)
  캐시 완료 11290/11900: 269건 (신고 269)
  캐시 완료 11290/10400: 160건 (신고 160)
  캐시 완료 11290/13800: 4974건 (신고 4974)
  캐시 완료 11230/10900: 2309건 (신고 2309)
  캐시 완료 11560/10400: 319건 (신고 319)
  캐시 완료 11560/11800: 1977건 (신고 1977)
  캐시 완료 11110/18700: 226건 (신고 226)
  캐시 완료 11110/13900: 189건 (신고 189)
  캐시 완료 11110/12200: 101건 (신고 101)
  캐시 완료 11110/14100: 165건 (신고 165)
  캐시 완료 11140/13600: 182건 (신고 182)
  캐시 완료 11140/17100: 482건 (신고 482)
  캐시 완료 11440/10900: 1049건 (신고 1049)
  캐시 완료 11440/10500: 382건 (신고 382)
  캐시 완료 11215/10200: 1217건 (신고 1217)
  캐시 완료 11170/11800: 220건 (신고 220)
  캐시 완료 11410/10400: 137건 (신고 137)
  캐시 완료 11380/10600: 2419건 (신고 2419)
  캐시 완료 11380/11000: 1341건 (신고 1341)
  캐시 완료 11290/12100: 367건 (신고 367)
  캐시 완료 11290/10200: 270건 (신고 270)
  캐시 완료 11290/13700: 837건 (신고 837)
  캐시 완료 11290/11400: 268건 (신고 268)
  캐시 완료 11560/10100: 1147건 (신고 1147)
  캐시 완료 11560/11600: 392건 (신고 392)
  캐시 완료 11740/10200: 1528건 (신고 1528)
  캐시 완료 11110/13100: 150건 (신고 150)
  캐시 완료 11110/16600: 340건 (신고 340)
  캐시 완료 11110/16800: 649건 (신고 649)
  캐시 완료 11110/18200: 682건 (신고 682)
  캐시 완료 11110/11200: 282건 (신고 282)
  캐시 완료 11110/16900: 490건 (신고 490)
  캐시 완료 11110/14300: 121건 (신고 121)
  캐시 완료 11140/14900: 91건 (신고 91)
  캐시 완료 11140/14700: 354건 (신고 354)
  캐시 완료 11140/14000: 41건 (신고 41)
  캐시 완료 11140/12200: 192건 (신고 192)
  캐시 완료 11650/10300: 765건 (신고 765)
  캐시 완료 11440/10200: 1766건 (신고 1766)
  캐시 완료 11170/10700: 441건 (신고 441)
  캐시 완료 11170/10900: 946건 (신고 946)
  캐시 완료 11170/11500: 119건 (신고 119)
  캐시 완료 11530/10800: 2486건 (신고 2486)
  캐시 완료 11530/10900: 830건 (신고 830)
  캐시 완료 11410/10500: 218건 (신고 218)
  캐시 완료 11200/11000: 483건 (신고 483)
  캐시 완료 11200/10900: 467건 (신고 467)
  캐시 완료 11200/10300: 444건 (신고 444)
  캐시 완료 11380/10900: 3106건 (신고 3106)
  캐시 완료 11380/11400: 1529건 (신고 1529)
  캐시 완료 11710/11300: 1680건 (신고 1680)
  캐시 완료 11710/11400: 3012건 (신고 3012)
  캐시 완료 11290/11700: 362건 (신고 362)
  캐시 완료 11290/10300: 1102건 (신고 1102)
  캐시 완료 11290/12800: 415건 (신고 415)
  캐시 완료 11290/12200: 357건 (신고 357)
  캐시 완료 11290/13100: 288건 (신고 288)
  캐시 완료 11500/10600: 1364건 (신고 1364)
  캐시 완료 11560/10700: 330건 (신고 330)
  캐시 완료 11560/12700: 265건 (신고 265)
  캐시 완료 11590/10900: 2301건 (신고 2301)
  캐시 완료 11590/10500: 1779건 (신고 1779)
  캐시 완료 11740/10300: 967건 (신고 967)
  캐시 완료 11110/13000: 301건 (신고 301)
  캐시 완료 11110/10100: 358건 (신고 358)
  캐시 완료 11110/10400: 203건 (신고 203)
  캐시 완료 11110/18600: 400건 (신고 400)
  캐시 완료 11110/17000: 501건 (신고 501)
  캐시 완료 11110/18400: 866건 (신고 866)
  캐시 완료 11110/18100: 515건 (신고 515)
  캐시 완료 11110/10900: 312건 (신고 312)
  캐시 완료 11110/14900: 346건 (신고 346)
  캐시 완료 11110/16400: 358건 (신고 358)
  캐시 완료 11680/11100: 476건 (신고 476)
  캐시 완료 11650/11100: 399건 (신고 399)
  캐시 완료 11650/10900: 511건 (신고 511)
  캐시 완료 11440/11300: 110건 (신고 110)
  캐시 완료 11440/10700: 178건 (신고 178)
  캐시 완료 11170/13300: 229건 (신고 229)
  캐시 완료 11170/11400: 255건 (신고 255)
  캐시 완료 11170/11100: 572건 (신고 572)
  캐시 완료 11530/10300: 1445건 (신고 1445)
  캐시 완료 11200/11100: 1015건 (신고 1015)
  캐시 완료 11200/11300: 552건 (신고 552)
  캐시 완료 11380/10500: 1888건 (신고 1888)
  캐시 완료 11290/12300: 326건 (신고 326)
  캐시 완료 11290/10700: 200건 (신고 200)
  캐시 완료 11290/11000: 163건 (신고 163)
  캐시 완료 11290/11500: 439건 (신고 439)
  캐시 완료 11290/12000: 279건 (신고 279)
API 호출 5609회 / 캐시 보유 동 287 / 필요 동 287
매칭 완료: 처리 2944건 / 단일 특정 1075건 / 후보 없음 1246건 → data/bldg_match.csv
exit_code=0
