DATA_END_YY,DATA_START_YY,DTACYCLE_CD,DTACYCLE_NM,OPEN_STATE,RPSTUI_NM,STATBL_CMMT,STATBL_ID,STATBL_IDTFR,STATBL_NM,STAT_ID,TOP_ORG_NM,V_ORDER
2024,2006,MM,월,Y,,"◈잠정변동률은 작성시점까지 신고된 자료로만 산출한 잠정 결과이므로 모든 신고 자료가 취합된 시점에서 산출한 확정 결과와 차이가 발생할 수 있습니다.
◈전세가격지수 및 전세평균가격은 확정일자를 기초로 신규계약 및 재계약시장이 통합되어 통계가 작성되었으므로 이용시 유의하시기 바랍니다.

※조사ㆍ통계문의 : 부동산분석처 시장분석부(053-663-8567,715)",T247223131886356,,(월) 규모별 매매 평균가격_아파트,S231520283,한국부동산원,370037
2025,2006,MM,월,Y,,"◈잠정변동률은 작성시점까지 신고된 자료로만 산출한 잠정 결과이므로 모든 신고 자료가 취합된 시점에서 산출한 확정 결과와 차이가 발생할 수 있습니다.
◈전세가격지수 및 전세평균가격은 확정일자를 기초로 신규계약 및 재계약시장이 통합되어 통계가 작성되었으므로 이용시 유의하시기 바랍니다.

※조사ㆍ통계문의 : 부동산분석처 시장분석부(053-663-8567,715)",T248453131892511,,(월) 규모별 매매 중위가격_아파트,S231520283,한국부동산원,370038
2024,2014,MM,월,Y,,"◈잠정변동률은 작성시점까지 신고된 자료로만 산출한 잠정 결과이므로 모든 신고 자료가 취합된 시점에서 산출한 확정 결과와 차이가 발생할 수 있습니다.
◈전세가격지수 및 전세평균가격은 확정일자를 기초로 신규계약 및 재계약시장이 통합되어 통계가 작성되었으므로 이용시 유의하시기 바랍니다.

※조사ㆍ통계문의 : 부동산분석처 시장분석부(053-663-8567,715)",A_2024_00192,,(월) 지역별 전세 평균가격_아파트,S231520283,한국부동산원,370039
2024,2014,MM,월,Y,,"◈잠정변동률은 작성시점까지 신고된 자료로만 산출한 잠정 결과이므로 모든 신고 자료가 취합된 시점에서 산출한 확정 결과와 차이가 발생할 수 있습니다.
◈전세가격지수 및 전세평균가격은 확정일자를 기초로 신규계약 및 재계약시장이 통합되어 통계가 작성되었으므로 이용시 유의하시기 바랍니다.

※조사ㆍ통계문의 : 부동산분석처 시장분석부(053-663-8567,715)",A_2024_00193,,(월) 지역별 전세 중위가격_아파트,S231520283,한국부동산원,370040
2024,2014,MM,월,Y,,"◈잠정변동률은 작성시점까지 신고된 자료로만 산출한 잠정 결과이므로 모든 신고 자료가 취합된 시점에서 산출한 확정 결과와 차이가 발생할 수 있습니다.
◈전세가격지수 및 전세평균가격은 확정일자를 기초로 신규계약 및 재계약시장이 통합되어 통계가 작성되었으므로 이용시 유의하시기 바랍니다.

※조사ㆍ통계문의 : 부동산분석처 시장분석부(053-663-8567,715)",A_2024_00613,,(월) 규모별 전세 평균가격_아파트,S231520283,한국부동산원,370041
2024,2014,MM,월,Y,,"◈잠정변동률은 작성시점까지 신고된 자료로만 산출한 잠정 결과이므로 모든 신고 자료가 취합된 시점에서 산출한 확정 결과와 차이가 발생할 수 있습니다.
◈전세가격지수 및 전세평균가격은 확정일자를 기초로 신규계약 및 재계약시장이 통합되어 통계가 작성되었으므로 이용시 유의하시기 바랍니다.

※조사ㆍ통계문의 : 부동산분석처 시장분석부(053-663-8567,715)",A_2024_00614,,(월) 규모별 전세 중위가격_아파트,S231520283,한국부동산원,370042
2024,2006,MM,월,Y,,"◈잠정변동률은 작성시점까지 신고된 자료로만 산출한 잠정 결과이므로 모든 신고 자료가 취합된 시점에서 산출한 확정 결과와 차이가 발생할 수 있습니다.
◈전세가격지수 및 전세평균가격은 확정일자를 기초로 신규계약 및 재계약시장이 통합되어 통계가 작성되었으므로 이용시 유의하시기 바랍니다.

※조사ㆍ통계문의 : 부동산분석처 시장분석부(053-663-8567,715)",A_2024_00196,,(월) 지역별 매매 평균가격_연립/다세대,S231520283,한국부동산원,371043
2024,2006,MM,월,Y,,"◈잠정변동률은 작성시점까지 신고된 자료로만 산출한 잠정 결과이므로 모든 신고 자료가 취합된 시점에서 산출한 확정 결과와 차이가 발생할 수 있습니다.
◈전세가격지수 및 전세평균가격은 확정일자를 기초로 신규계약 및 재계약시장이 통합되어 통계가 작성되었으므로 이용시 유의하시기 바랍니다.

※조사ㆍ통계문의 : 부동산분석처 시장분석부(053-663-8567,715)",A_2024_00197,,(월) 지역별 매매 중위가격_연립/다세대,S231520283,한국부동산원,371044
2024,2006,MM,월,Y,,"◈잠정변동률은 작성시점까지 신고된 자료로만 산출한 잠정 결과이므로 모든 신고 자료가 취합된 시점에서 산출한 확정 결과와 차이가 발생할 수 있습니다.
◈전세가격지수 및 전세평균가격은 확정일자를 기초로 신규계약 및 재계약시장이 통합되어 통계가 작성되었으므로 이용시 유의하시기 바랍니다.

※조사ㆍ통계문의 : 부동산분석처 시장분석부(053-663-8567,715)",A_2024_00198,,(월) 규모별 매매 평균가격_연립/다세대,S231520283,한국부동산원,371045
2024,2006,MM,월,Y,,"◈잠정변동률은 작성시점까지 신고된 자료로만 산출한 잠정 결과이므로 모든 신고 자료가 취합된 시점에서 산출한 확정 결과와 차이가 발생할 수 있습니다.
◈전세가격지수 및 전세평균가격은 확정일자를 기초로 신규계약 및 재계약시장이 통합되어 통계가 작성되었으므로 이용시 유의하시기 바랍니다.

※조사ㆍ통계문의 : 부동산분석처 시장분석부(053-663-8567,715)",A_2024_00199,,(월) 규모별 매매 중위가격_연립/다세대,S231520283,한국부동산원,371046
2023,2022,HY,반기,Y,,"◈전체주택 소유자수는 공동주택과 단독주택의 소유자수 합과 다를 수 있음
◈지분반영주택수의 경우 소수점 반올림으로 인한 합계 차이가 발생할 수 있음

※조사ㆍ통계문의 : 부동산분석처 거래분석부(053-663-8526)",A_2024_00200,,외국인주택소유현황(총괄),S237120287,한국부동산원,373047
2023,2022,HY,반기,Y,,"◈지분반영주택수의 경우 소수점 반올림으로 인한 합계 차이가 발생할 수 있음

※조사ㆍ통계문의 : 부동산분석처 거래분석부(053-663-8526)
",A_2024_00202,,소유인수별 외국인주택소유현황_공동주택,S237120287,한국부동산원,374048
2023,2022,HY,반기,Y,,"◈지분반영주택수의 경우 소수점 반올림으로 인한 합계 차이가 발생할 수 있음

※조사ㆍ통계문의 : 부동산분석처 거래분석부(053-663-8526)",A_2024_00203,,소유인수별 외국인주택소유현황_단독주택,S237120287,한국부동산원,374049
2023,2022,HY,반기,Y,,"◈지분반영주택수의 경우 소수점 반올림으로 인한 합계 차이가 발생할 수 있음
◈주택유형별 소유자수 합계는 전체 소유자수와 상이할 수 있음
  (예시: 다주택자 1명이 아파트 1채와 단독주택 1채를 소유중인 경우, 아파트 소유자수 1명, 단독주택 소유자수 1명으로 집계되지만 전체 소유자수는 1명임)

※조사ㆍ통계문의 : 부동산분석처 거래분석부(053-663-8526)",A_2024_00201,,주택유형별 외국인주택소유현황,S237120287,한국부동산원,375050
2024,2022,HY,반기,Y,,"◈소유자수 5미만 시군구는 공란으로 표기함
◈시군구의 소유자수 합은 시도의 소유자수와 다를 수 있음
◈지분반영주택수의 경우 소수점 반올림으로 인한 합계 차이가 발생할 수 있음
◈지역별 소유자수 합계는 전체 소유자수와 상이할 수 있음
  (예시: 다주택자 1명이 서울과 경기에 각각 1채의 주택을 소유중인 경우, 서울 소유자수 1명, 경기 소유자수 1명으로 집계되지만 전체 소유자수는 1명임)


※조사ㆍ통계문의 : 부동산분석처 거래분석부(053-663-8526)",A_2024_00204,,지역별 외국인주택소유현황_공동주택,S237120287,한국부동산원,376051
2024,2022,HY,반기,Y,,"◈소유자수 5미만 시군구는 공란으로 표기함
◈시군구의 소유자수 합은 시도의 소유자수와 다를 수 있음
◈지분반영주택수의 경우 소수점 반올림으로 인한 합계 차이가 발생할 수 있음
◈지역별 소유자수 합계는 전체 소유자수와 상이할 수 있음
  (예시: 다주택자 1명이 서울과 경기에 각각 1채의 주택을 소유중인 경우, 서울 소유자수 1명, 경기 소유자수 1명으로 집계되지만 전체 소유자수는 1명임)
※조사ㆍ통계문의 : 부동산분석처 거래분석부(053-663-8526)",A_2024_00205,,지역별 외국인주택소유현황_단독주택,S237120287,한국부동산원,376052
,,MM,월,Y,,"통계청, 「경기종합지수」, 경기종합지수(2020=100)(10차)",T233853129563870,,경기종합지수,Z000000,한국부동산원,379002
,,"YY,QY,MM","매년,분기,월",Y,,"한국은행, 「생산자물가조사」, 생산자물가지수(품목별)",T237703129886390,,생산자 물가지수(품목별),Z000000,한국부동산원,379003
,,"YY,QY,MM","매년,분기,월",Y,,,T233083129878785,,소비자 물가지수,Z000000,한국부동산원,379004
,,"YY,QY,MM","매년,분기,월",Y,,,T238333129571085,,공종별 건설기성액(경상),Z000000,한국부동산원,381002
,,"YY,QY,MM","매년,분기,월",Y,,,T236933129926065,,발주자/공종별 건설수주액(경상),Z000000,한국부동산원,381003
,,"YY,QY,MM","매년,분기,월",Y,,,T232023129584012,,예금은행가중평균금리-수신,Z000000,한국부동산원,382001
,,"YY,QY,MM","매년,분기,월",Y,,,T233453129931506,,예금은행가중평균금리-대출,Z000000,한국부동산원,382002
,,"YY,QY,MM","매년,분기,월",Y,,,T231283129942110,,가계신용(예금취급기관의 가계대출),Z000000,한국부동산원,382003
,,"YY,QY,MM","매년,분기,월",Y,,,T231293129595643,,시군구별 이동자수,Z000000,한국부동산원,383001
,,"YY,QY,MM","매년,분기,월",Y,,,T239483129957721,,시군구별 이동건수,Z000000,한국부동산원,383002
,,YY,매년,Y,,,T232323130225531,,행정구역별·지목별 국토이용현황,Z000000,한국부동산원,384001
,,YY,매년,Y,,,T237803129602546,,소유구분별·지목별 국토이용현황,Z000000,한국부동산원,384002
,,YY,매년,Y,,,T239383129962450,,행정구역별·소유구분별 국토이용현황,Z000000,한국부동산원,384003
2022,2020,YY,매년,Y,,,T231183129978714,,행정구역별·지목별 국토이용현황_시군구,Z000000,한국부동산원,384004
,,HY,반기,Y,,,T241663134024722,,시도별 외국인 토지보유현황,Z000000,한국부동산원,385015
,,HY,반기,Y,,,T244633134116461,,전국 외국인 토지보유현황,Z000000,한국부동산원,385016
,,YY,매년,Y,,,T246383134037612,,주택멸실현황,Z000000,한국부동산원,385017
,,YY,매년,Y,,,T241623134042170,,설립연도,Z000000,한국부동산원,386018
,,YY,매년,Y,,,T245843134051512,,사업체구분,Z000000,한국부동산원,386019
,,YY,매년,Y,,,T241723134066597,,매출액,Z000000,한국부동산원,386020
,,YY,매년,Y,,,T243513134076941,,경영 성과 평가(전년 대비 체감),Z000000,한국부동산원,386021
,,YY,매년,Y,,,T249123134087480,,분야별 종사자 수,Z000000,한국부동산원,386022
,,YY,매년,Y,,,T242293134091695,,성별 종사자 수,Z000000,한국부동산원,386023
,,YY,매년,Y,,,T245193134106822,,연령별 종사자 수,Z000000,한국부동산원,386024
,,YY,매년,Y,,,T245703134228526,,사업주체별 규모 현황,Z000000,한국부동산원,387025
,,YY,매년,Y,,,T244983134263241,,사업주체별 지역별 규모 현황,Z000000,한국부동산원,387026
,,YY,매년,Y,,,T247753134274936,,사업주체별 지역별 층수 현황,Z000000,한국부동산원,387027
,,YY,매년,Y,,,T248663134233005,,연도별 사업주체별 건설현황,Z000000,한국부동산원,387028
,,YY,매년,Y,,,T248033134256192,,준공연도별 규모현황,Z000000,한국부동산원,387029
,,YY,매년,Y,,,T248913134248721,,지역별 규모현황,Z000000,한국부동산원,387030
,,YY,매년,Y,,,T249233134282673,,지역별 난방방식 현황,Z000000,한국부동산원,387031
,,YY,매년,Y,,,T248713134296952,,지역별 단지면적 현황,Z000000,한국부동산원,387032
,,YY,매년,Y,,,T249383134304954,,지역별 동수 현황,Z000000,한국부동산원,387033
,,YY,매년,Y,,,T243583134315605,,지역별 용도지역 현황,Z000000,한국부동산원,387034
,,YY,매년,Y,,,T249833134321580,,지역별 일반 면적현황,Z000000,한국부동산원,387035
,,YY,매년,Y,,,T241923134336502,,지역별 주차장 시설현황,Z000000,한국부동산원,387036
,,YY,매년,Y,,,T249913134349184,,지역별 층수 현황,Z000000,한국부동산원,387037
,,YY,매년,Y,,,T243973134353348,,층수별 동수 현황,Z000000,한국부동산원,387038
,,YY,매년,Y,,,T246583134428341,,평면형식별 지역별 규모 현황,Z000000,한국부동산원,387039
,,YY,매년,Y,,,T243203134432707,,평면형식별 지역별 층수 현황,Z000000,한국부동산원,387040
,,MM,월,Y,,,T247863134443498,,지역별 규모별 ㎡당 분양가격지수,Z000000,한국부동산원,388041
,,MM,월,Y,,,T249233134451237,,지역별 규모별 ㎡당 평균 분양가격,Z000000,한국부동산원,388042
,,MM,월,Y,,,T244633134461863,,지역별 신규 분양세대수,Z000000,한국부동산원,388043
2024,2011,MM,월,Y,기준월 : 2012.06.=100,"※조사ㆍ통계문의 : 부동산통계처 주택통계부(053-663-8506,504)",A_2024_00155,,지역별 전월세 전환율_종합주택,S234820263,한국부동산원,400003
2024,2011,MM,월,Y,기준월 : 2012.06.=100,"※조사ㆍ통계문의 : 부동산통계처 주택통계부(053-663-8506,504)",A_2024_00156,,지역별 전월세 전환율_아파트,S234820263,한국부동산원,400004
2024,2011,MM,월,Y,기준월 : 2012.06.=100,"※조사ㆍ통계문의 : 부동산통계처 주택통계부(053-663-8506,504)",A_2024_00157,,지역별 전월세 전환율_연립/다세대,S234820263,한국부동산원,400005
2024,2011,MM,월,Y,기준월 : 2012.06.=100,"※조사ㆍ통계문의 : 부동산통계처 주택통계부(053-663-8506,504)",A_2024_00158,,지역별 전월세 전환율_단독주택,S234820263,한국부동산원,400006
2024,2014,MM,월,Y,기준시점 : 2026.01.=100.0,"※조사ㆍ통계문의 : 부동산통계처 토지통계부(053-663-8547,545)",A_2024_00009,,고속철도 역세권 지가지수,S227720243,한국부동산원,407001
2024,2014,MM,월,Y,기준시점 : 2026.01.=100.0,"※조사ㆍ통계문의 : 부동산통계처 토지통계부(053-663-8547,545)",A_2024_00010,,지하철 역세권 지가지수,S227720243,한국부동산원,407002
2024,2022,YY,매년,Y, 기준 : 2022.6.,"※조사ㆍ통계문의 : 부동산통계처 상업자산통계부(053-663-8534,8535)
※상가권리금은 현재 국가데이터처의 공식 승인통계가 아닌 ""수량적 정보""로 시계열적 통계 작성이 아닌 현황 확인을 목적으로 하며, 정책 판단 또는 제도 설계의 근거로 활용하기엔 한계가 있으므로 참고 용도로만 활용하여 주시기 바랍니다.",A_2024_00445,,시도별/업종별 상가권리금(2022년~),S237220284,한국부동산원,452001
2021,2021,YY,매년,Y,기준 : 2021.6.,"※조사ㆍ통계문의 : 부동산통계처 상업자산통계부(053-663-8534,8535)
※상가권리금은 현재 국가데이터처의 공식 승인통계가 아닌 ""수량적 정보""로 시계열적 통계 작성이 아닌 현황 확인을 목적으로 하며, 정책 판단 또는 제도 설계의 근거로 활용하기엔 한계가 있으므로 참고 용도로만 활용하여 주시기 바랍니다.",A_2024_00444,,시도별/업종별 상가권리금(2021년),S237220284,한국부동산원,452002
